batch_size,total_time_ms,avg_latency_per_request_ms,throughput_requests_per_sec,throughput_tokens_per_sec,total_tokens_generated,memory_usage_mb,efficiency_ratio,latency_increase_factor,memory_per_request_mb
1,93.2480810006382,93.2480810006382,10.72408128155641,890.0987463691821,83,310.95201599999996,10.72408128155641,1.0,310.95201599999996
2,105.57926799810957,52.789633999054786,18.943112960735913,1420.7334720551935,150,621.9040319999999,9.471556480367957,0.5661203258294772,310.95201599999996
4,114.48645099881105,28.621612749702763,34.93863217090676,2218.6031428525794,254,1243.8080639999998,8.73465804272669,0.3069405015370437,310.95201599999996
8,113.23838999669533,14.154798749586917,70.64741913262337,3293.9359170585644,373,2487.6161279999997,8.830927391577921,0.15179721231464313,310.95201599999996
16,123.55386400304269,7.722116500190168,129.4981757883831,5875.979726397883,726,4975.232255999999,8.093635986773943,0.08281260501368728,310.95201599999996
32,140.76829499390442,4.399009218559513,227.3239155264733,10726.847263905458,1510,9950.464511999999,7.10387236020229,0.04717533241814817,310.95201599999996
