batch_size,total_time_ms,avg_latency_per_request_ms,throughput_requests_per_sec,throughput_tokens_per_sec,total_tokens_generated,memory_usage_mb,efficiency_ratio,latency_increase_factor,memory_per_request_mb
1,1009.4936290406622,1009.4936290406622,0.9905956523473217,99.05956523473218,100,10823.665664,0.9905956523473217,1.0,10823.665664
2,1041.029817017261,520.5149085086305,1.9211745593707992,192.1174559370799,200,21647.331328,0.9605872796853996,0.5156198053506132,10823.665664
4,1076.3710520113818,269.09276300284546,3.7161906133812517,371.61906133812516,400,43294.662656,0.9290476533453129,0.26656212110874694,10823.665664
8,1105.8339809533209,138.2292476191651,7.2343589885918815,725.2444886063361,802,86589.325312,0.9042948735739852,0.13692929171878634,10823.665664
16,1168.3539249934256,73.0221203120891,13.69448046326376,1374.5834765001,1606,173178.650624,0.855905028953985,0.07233539490633852,10823.665664
32,1218.1888519553468,38.068401623604586,26.268505042248552,2633.4176304854172,3208,346357.301248,0.8208907825702673,0.037710393140154425,10823.665664
