batch_size,total_time_ms,avg_latency_per_request_ms,throughput_requests_per_sec,throughput_tokens_per_sec,total_tokens_generated,memory_usage_mb,efficiency_ratio,latency_increase_factor,memory_per_request_mb
1,510.7377670065034,510.7377670065034,1.9579519365899303,195.79519365899304,100,19389.4342656,1.9579519365899303,1.0,19389.4342656
2,573.7192630040227,286.8596315020113,3.486025533686808,346.85954060183735,199,38778.8685312,1.743012766843404,0.5616573710288368,19389.4342656
4,668.2845629984513,167.07114074961282,5.985474184908368,595.5546813983826,398,77557.7370624,1.496368546227092,0.32711726357899323,19389.4342656
8,758.259498004918,94.78243725061475,10.550477799551564,1048.4537313304365,795,155115.4741248,1.3188097249439454,0.1855794565695547,19389.4342656
16,910.6681850098539,56.91676156311587,17.56951682662206,1713.027890595651,1560,310230.9482496,1.0980948016638787,0.11144028352693003,19389.4342656
32,1097.7304990083212,34.30407809401004,29.1510530398021,2826.74117445331,3103,620461.8964992,0.9109704074938156,0.06716573613709916,19389.4342656
