engine,model,result_type,ttft,tpot,throughput,total_tokens,input_tokens,output_tokens,p50_latency,p95_latency,p99_latency,gpu_memory_used,gpu_utilization,cpu_utilization,batch_index
vllm,microsoft/DialoGPT-small,overall,0.01142620500013436,0.00685225289992862,1498.2906814156865,308,234,74,0.004713572999662574,0.016987238000183424,0.017005314999551047,73885.0,0.0,0.0,
vllm,microsoft/DialoGPT-small,concurrent,0.014736162000190234,0.017336670000076992,769.0827208035984,40,30,10,0.01788532699993084,0.019388521000109904,0.019388521000109904,73887.0,12.0,1.8,0.0
vllm,microsoft/DialoGPT-small,concurrent,0.01785512100013875,0.018818556666701625,867.937622561365,49,31,18,0.019079648000115412,0.01952090099985071,0.01952090099985071,73887.0,15.0,0.0,1.0
vllm,microsoft/DialoGPT-small,concurrent,0.0028225850001035724,0.0039262743336318335,1443.2681430655298,17,17,0,0.004169396000179404,0.004786842000612523,0.004786842000612523,73887.0,4.0,0.4,2.0
