batch_size,total_time_ms,avg_latency_per_request_ms,throughput_requests_per_sec,throughput_tokens_per_sec,total_tokens_generated,memory_usage_mb,efficiency_ratio,latency_increase_factor,memory_per_request_mb
1,976.5189980098512,976.5189980098512,1.0240456171748866,102.40456171748866,100,10821.917624,1.0240456171748866,1.0,10821.917624
2,978.2654280134011,489.13271400670055,2.044434917894903,204.4434917894903,200,21643.835248,1.0222174589474515,0.500894211995419,10821.917624
4,993.6764300218783,248.41910750546958,4.025455247954236,402.54552479542355,400,43287.670496,1.006363811988559,0.2543924982634731,10821.917624
8,1008.3318940014578,126.04148675018223,7.933895622653421,793.3895622653421,800,86575.340992,0.9917369528316776,0.12907223208873067,10821.917624
16,1034.6556259901263,64.66597662438289,15.464082539239667,1546.4082539239669,1600,173150.681984,0.9665051587024792,0.06622090994253298,10821.917624
32,1081.7530649947003,33.80478328108438,29.581612509835388,2958.161250983539,3200,346301.363968,0.9244253909323559,0.034617640158541345,10821.917624
