batch_size,total_time_ms,avg_latency_per_request_ms,throughput_requests_per_sec,throughput_tokens_per_sec,total_tokens_generated,memory_usage_mb,efficiency_ratio,latency_increase_factor,memory_per_request_mb
1,531.7762750200927,531.7762750200927,1.8804900612804056,188.04900612804056,100,7102.172160000001,1.8804900612804056,1.0,7102.172160000001
2,636.4047860261053,318.20239301305264,3.142653927052585,311.1227387782059,198,14204.344320000002,1.5713269635262925,0.5983764375366871,7102.172160000001
4,758.5503889713436,189.6375972428359,5.273215936813805,524.6849857129736,398,28408.688640000004,1.3183039842034512,0.3566116168602494,7102.172160000001
8,831.8753289640881,103.98441612051101,9.616825648576674,958.076255239451,797,56817.37728000001,1.2021032060720842,0.19554166104266696,7102.172160000001
16,1014.6045170258731,63.41278231411707,15.769691275277449,1575.98352182304,1599,113634.75456000002,0.9856057047048405,0.11924710689983502,7102.172160000001
32,1256.1533940024674,39.254793562577106,25.47459581989327,2540.2948519149822,3191,227269.50912000003,0.7960811193716647,0.0738182491520403,7102.172160000001
