batch_size,total_time_ms,avg_latency_per_request_ms,throughput_requests_per_sec,throughput_tokens_per_sec,total_tokens_generated,memory_usage_mb,efficiency_ratio,latency_increase_factor,memory_per_request_mb
1,512.2902129951399,512.2902129951399,1.9520185524400933,191.29781813912913,98,7101.759488000001,1.9520185524400933,1.0,7101.759488000001
2,574.8533560254145,287.42667801270727,3.4791481671572235,346.17524263214375,199,14203.518976000001,1.7395740835786118,0.5610622079470297,7101.759488000001
4,665.1691799925175,166.29229499812936,6.013507721516797,596.8406413605421,397,28407.037952000002,1.5033769303791993,0.3246056449641894,7101.759488000001
8,768.7809049966745,96.09761312458431,10.406085723519116,1036.7062902055918,797,56814.075904000005,1.3007607154398895,0.18758432366439917,7101.759488000001
16,885.0328490079846,55.31455306299904,18.07842501883865,1798.8032893744457,1592,113628.15180800001,1.1299015636774157,0.1079750337989061,7101.759488000001
32,1102.6203990040813,34.45688746887754,29.02177397489048,2887.6665105016027,3184,227256.30361600002,0.9069304367153275,0.06726048359858952,7101.759488000001
