batch_size,total_time_ms,avg_latency_per_request_ms,throughput_requests_per_sec,throughput_tokens_per_sec,total_tokens_generated,memory_usage_mb,efficiency_ratio,latency_increase_factor,memory_per_request_mb
1,972.3866849963088,972.3866849963088,1.0283974630975083,103.86814377284836,101,28763.1292032,1.0283974630975083,1.0,28763.1292032
2,976.8933629966341,488.44668149831705,2.0473063650109893,206.77794286610992,202,57526.2584064,1.0236531825054946,0.502317328111266,28763.1292032
4,998.4955609979806,249.62389024949516,4.006026822995651,402.6056957110629,402,115052.5168128,1.0015067057489127,0.2567125754611117,28763.1292032
8,1013.2477560109692,126.65596950137115,7.895403619244131,790.5272873768185,801,230105.0336256,0.9869254524055163,0.13025267772136548,28763.1292032
16,1038.8849419978214,64.93030887486384,15.40112802985795,1545.8882259969919,1606,460210.0672512,0.9625705018661219,0.0667741649250476,28763.1292032
32,1091.8256959994324,34.11955299998226,29.308707532027746,2937.282032975406,3207,920420.1345024,0.9158971103758671,0.03508846174720274,28763.1292032
