batch_size,total_time_ms,avg_latency_per_request_ms,throughput_requests_per_sec,throughput_tokens_per_sec,total_tokens_generated,memory_usage_mb,efficiency_ratio,latency_increase_factor,memory_per_request_mb
1,1006.1052679666318,1006.1052679666318,0.9939317801416837,99.39317801416837,100,10823.558144,0.9939317801416837,1.0,10823.558144
2,1062.9961919621564,531.4980959810782,1.8814742847838928,188.1474284783893,200,21647.116288,0.9407371423919464,0.5282728486803885,10823.558144
4,1044.3029580055736,261.0757395013934,3.830306109291564,383.0306109291564,400,43294.232576,0.957576527322891,0.25949147451442645,10823.558144
8,1078.7834729999304,134.8479341249913,7.4157606231705,741.57606231705,800,86588.465152,0.9269700778963125,0.1340296472132811,10823.558144
16,1134.927331993822,70.93295824961388,14.097818907833913,1403.614095011214,1593,173176.930304,0.8811136817396196,0.07050252146375445,10823.558144
32,1219.103452982381,38.096982905699406,26.248797771605098,2624.8797771605095,3200,346353.860608,0.8202749303626593,0.0378658020374891,10823.558144
