batch_size,total_time_ms,avg_latency_per_request_ms,throughput_requests_per_sec,throughput_tokens_per_sec,total_tokens_generated,memory_usage_mb,efficiency_ratio,latency_increase_factor,memory_per_request_mb
1,973.669418002828,973.669418002828,1.0270426301887767,102.70426301887768,100,10854.452224,1.0270426301887767,1.0,10854.452224
2,974.5045460003894,487.2522730001947,2.05232495652124,205.23249565212402,200,21708.904448,1.02616247826062,0.5004288560275798,10854.452224
4,998.039477999555,249.50986949988874,4.007857492789262,400.7857492789262,400,43417.808896,1.0019643731973156,0.25625727262922415,10854.452224
8,1009.2932289990131,126.16165362487664,7.92633871915911,792.6338719159111,800,86835.617792,0.9907923398948888,0.1295733965678587,10854.452224
16,1037.0772169990232,64.81732606243895,15.427973672297027,1542.7973672297026,1600,173671.235584,0.9642483545185642,0.06657015704097086,10854.452224
32,1080.4769929964095,33.7649060311378,29.616549179133088,2961.654917913309,3200,347342.471168,0.925517161847909,0.034677997898296654,10854.452224
