engine,model,result_type,ttft,tpot,throughput,total_tokens,input_tokens,output_tokens,p50_latency,p95_latency,p99_latency,gpu_memory_used,gpu_utilization,cpu_utilization,batch_index
vllm,microsoft/DialoGPT-small,overall,0.011046517998693162,0.007001086066520656,1466.4391451723593,308,234,74,0.0047512669989373535,0.017974235999645316,0.018049588999929256,73885.0,0.0,0.4,
vllm,microsoft/DialoGPT-small,concurrent,0.015209683999273693,0.017587727000621573,758.1044061499314,40,30,10,0.018663894001292647,0.018889603001298383,0.018889603001298383,73887.0,0.0,0.0,0.0
vllm,microsoft/DialoGPT-small,concurrent,0.018315278999580187,0.05595828133300529,291.88411338322527,49,31,18,0.019203526000637794,0.13035603899879789,0.13035603899879789,73887.0,33.0,0.0,1.0
vllm,microsoft/DialoGPT-small,concurrent,0.0027958369992120424,0.004057801333450091,1396.4869644933206,17,17,0,0.0045629989999724785,0.004814568001165753,0.004814568001165753,73887.0,0.0,0.0,2.0
