batch_size,total_time_ms,avg_latency_per_request_ms,throughput_requests_per_sec,throughput_tokens_per_sec,total_tokens_generated,memory_usage_mb,efficiency_ratio,latency_increase_factor,memory_per_request_mb
1,965.495184995234,965.495184995234,1.0357379462280139,104.6095325690294,101,10822.015456000001,1.0357379462280139,1.0,10822.015456000001
2,975.884859013604,487.942429506802,2.0494221029533564,206.991632398289,202,21644.030912000002,1.0247110514766782,0.5053804898148826,10822.015456000001
4,992.9252829751931,248.23132074379828,4.02850050107943,403.85717523321284,401,43288.061824000004,1.0071251252698574,0.257102598336649,10822.015456000001
8,1006.5927909745369,125.82409887181711,7.947603113921338,792.7734106136535,798,86576.12364800001,0.9934503892401673,0.13032079375148642,10822.015456000001
16,1030.8939979877323,64.43087487423327,15.520509413413425,1558.841164209711,1607,173152.24729600002,0.9700318383383391,0.06673350201591251,10822.015456000001
32,1077.696211024886,33.67800659452769,29.692968827985478,2961.8736405915515,3192,346304.49459200003,0.9279052758745462,0.034881589383269615,10822.015456000001
